Source,Target,Attributes
"DENTI, ENRICO","OMICINI, ANDREA",{'weight': 1.4}
"DENTI, ENRICO","MOLESINI, AMBRA",{'weight': 0.95}
"DENTI, ENRICO","NARDINI, ELENA",{'weight': 0.2}
"DENTI, ENRICO","VIROLI, MIRKO",{'weight': 0.15}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"OMICINI, ANDREA","NARDINI, ELENA",{'weight': 0.75}
"MOLESINI, AMBRA","VIROLI, MIRKO",{'weight': 0.25}
"MOLESINI, AMBRA","NARDINI, ELENA",{'weight': 0.2}
"NARDINI, ELENA","VIROLI, MIRKO",{'weight': 0.35}
